Run name,Collab pairs,Status ok ratio,Non-ok ratio,Fused ratio,Skipped ratio,Selected for blur ratio,Blurred ratio,Mean cov trace,Median cov trace,p95 cov trace all,p95 cov trace ok-only,Mean mask IoU after warp,Median mask IoU after warp,Mean mask IoU after warp ok-only,Median mask IoU after warp ok-only,AP@0.3,AP@0.5,AP@0.7
level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_14p0__xyz0p2__ryp14__seed28,1006,0.8976143141153081,0.10238568588469188,0.8976143141153081,0.10238568588469185,0.07256461232604373,0.07256461232604373,9.460950010206188,1.5996497869491577,50.01000213623047,16.14930915832519,0.1517749690989014,0.14962686567164174,0.16468879430720854,0.1621621621621621,0.7881002675603692,0.6976918484149134,0.5445561369314601
level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_14p0__xyz0p2__ryp14__seed42,1006,0.889662027833002,0.11033797216699803,0.889662027833002,0.110337972166998,0.24453280318091453,0.24453280318091453,20.50135556922459,5.388235807418823,64.80721092224121,70.32193984985352,0.04041920562569851,0.025370092254880898,0.043393973263967114,0.0267857142857142,0.6280556802940876,0.6072745029437249,0.5473681917437433
level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_18p0__xyz0p2__ryp18__seed20,1006,0.5616302186878728,0.4383697813121272,0.5616302186878728,0.4383697813121272,0.5357852882703777,0.5357852882703777,245.97081752681353,50.01000213623047,889.5561218261719,1251.5700683593732,0.009711801469359885,0.0,0.005887840304497931,0.0,0.6550268351577475,0.6447449338982449,0.5848194639074006
level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_18p0__xyz0p2__ryp18__seed28,1006,0.8916500994035785,0.10834990059642147,0.8916500994035785,0.10834990059642147,0.07654075546719682,0.07654075546719682,10.870355702349716,1.7613410949707031,50.01000213623047,15.580648422241199,0.1338149982082996,0.125,0.14632374288147873,0.1358024691358024,0.7472489158887561,0.6744362659537517,0.5410918341266062
level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_18p0__xyz0p2__ryp18__seed42,1006,0.882703777335984,0.11729622266401596,0.882703777335984,0.1172962226640159,0.3399602385685885,0.3399602385685885,29.345848533889615,8.409643650054932,92.81760597229004,95.71268997192381,0.02683965242427711,0.0173163418290854,0.028338294724697687,0.0191391941391941,0.6217677376710254,0.6069331822802918,0.5478103991117347
level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_1p0__xyz0p2__ryp1__seed20,1006,0.8886679920477137,0.11133200795228626,0.8886679920477137,0.11133200795228629,0.08846918489065607,0.08846918489065607,10.789305584859024,1.7850590944290161,50.01000213623047,22.87077140808105,0.12874223090295744,0.1166465877684076,0.14063126885509133,0.12692489931295894,0.7516221749813575,0.6892831525884848,0.5568680285483579
level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_1p0__xyz0p2__ryp1__seed28,1006,0.8956262425447317,0.10437375745526833,0.8956262425447317,0.10437375745526839,0.06958250497017893,0.06958250497017893,9.093769155097348,1.2759636640548706,50.01000213623047,15.831805229187012,0.21618934490410796,0.23473824312333624,0.23524393474345628,0.2444444444444444,0.8538245822506698,0.8318803278065302,0.7259112794027747
level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_1p0__xyz0p2__ryp1__seed42,1006,0.8916500994035785,0.10834990059642147,0.8916500994035785,0.10834990059642147,0.06262425447316103,0.06262425447316103,8.456910441694369,1.3819195628166199,50.01000213623047,11.666941261291504,0.21807880918088005,0.2258064516129032,0.23843182076421207,0.2410714285714285,0.8597112780247008,0.8395366701120818,0.7157309532351988
level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_2p0__xyz0p2__ryp2__seed20,1006,0.8916500994035785,0.10834990059642147,0.8916500994035785,0.10834990059642147,0.1441351888667992,0.1441351888667992,15.777304994205299,2.727993965148926,50.01000213623047,40.9870811462402,0.06666394762295497,0.04640396210163645,0.07185928493868737,0.0515463917525773,0.6529232979376326,0.6241918636288737,0.5501599427138728
level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_2p0__xyz0p2__ryp2__seed28,1006,0.8916500994035785,0.10834990059642147,0.8916500994035785,0.10834990059642147,0.0775347912524851,0.0775347912524851,8.568695601471886,1.1754791736602783,50.01000213623047,15.800925445556619,0.215416400287299,0.22961896322552056,0.234623141729862,0.2407407407407407,0.8575170834503509,0.8378880626005201,0.7275354370493909
