Run name,Collab pairs,Status ok ratio,Non-ok ratio,Fused ratio,Skipped ratio,Selected for blur ratio,Blurred ratio,Mean cov trace,Median cov trace,p95 cov trace all,p95 cov trace ok-only,Mean mask IoU after warp,Median mask IoU after warp,Mean mask IoU after warp ok-only,Median mask IoU after warp ok-only,AP@0.3,AP@0.5,AP@0.7
uncertainty_fusion_attbias_a0p05_b2p0__pos_1p0_rot_8p0__xyz1__ryp8__seed28,1006,0.8727634194831014,0.12723658051689857,N/A,N/A,N/A,N/A,13.93348006269844,1.747342586517334,50.01000213623047,38.641011810302736,0.17052348898736167,0.1785714285714285,0.19066328906257732,0.19549911993965302,0.799074000499802,0.7656247956746212,0.629385212673721
uncertainty_fusion_attbias_a0p05_b2p0__pos_1p0_rot_8p0__xyz1__ryp8__seed42,1006,0.7922465208747514,0.20775347912524855,N/A,N/A,N/A,N/A,33.136618847164435,6.936941862106323,71.61250305175781,87.07528686523428,0.05456501794451465,0.0294117647058823,0.06156061974412758,0.0347826086956521,0.6649918530891933,0.645418609100696,0.5783080251338315
uncertainty_fusion_attbias_a0p05_b2p0__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20,1006,0.6053677932405567,0.3946322067594433,N/A,N/A,N/A,N/A,204.17965920651648,50.01000213623047,725.2867431640625,1019.1390869140627,0.007045010776425572,0.0,0.004873931830662896,0.0,0.6478111517335248,0.6409250143574794,0.58348593675897
uncertainty_fusion_attbias_a0p05_b2p0__pos_1p5_rot_14p0__xyz1p5__ryp14__seed28,1006,0.8508946322067594,0.14910536779324057,N/A,N/A,N/A,N/A,24.742195586290446,3.3144662380218506,89.07170867919922,99.897554397583,0.11367786870386797,0.1036721898790864,0.12919975283744145,0.125,0.7528973935570514,0.7140578066770987,0.5973715412354288
uncertainty_fusion_attbias_a0p05_b2p0__pos_1p5_rot_14p0__xyz1p5__ryp14__seed42,1006,0.6123260437375746,0.3876739562624254,N/A,N/A,N/A,N/A,76.08399403404856,50.01000213623047,285.2683868408203,414.7912216186524,0.014923283233287395,0.0,0.01398513830739937,0.0,0.6481170139872098,0.6386517093542801,0.5859629258040695
uncertainty_fusion_attbias_a0p05_b2p0__pos_1p5_rot_4p0__xyz1p5__ryp4__seed20,1006,0.8349900596421471,0.16500994035785288,N/A,N/A,N/A,N/A,131.87312304546202,24.6932315826416,746.9464263916016,783.5200042724609,0.017379469782729966,0.009090909090909,0.01742111234942764,0.0095238095238095,0.6238659718487559,0.6145467353481447,0.5660377009497745
uncertainty_fusion_attbias_a0p05_b2p0__pos_1p5_rot_4p0__xyz1p5__ryp4__seed28,1006,0.8508946322067594,0.14910536779324057,N/A,N/A,N/A,N/A,24.01114173532532,2.8819847106933594,93.98792076110838,99.23871612548828,0.15535046303447508,0.1555555555555555,0.17756875213596754,0.18469899665551837,0.7817205820105014,0.762268913783498,0.6640543108251987
uncertainty_fusion_attbias_a0p05_b2p0__pos_1p5_rot_4p0__xyz1p5__ryp4__seed42,1006,0.614314115308151,0.38568588469184895,N/A,N/A,N/A,N/A,52.91928955004779,35.19118690490723,149.95502853393555,258.55417633056624,0.05173440358502345,0.0307692307692307,0.06244323848107208,0.0465116279069767,0.7145887163036556,0.6799436633220163,0.586864407224691
uncertainty_fusion_attbias_a0p05_b2p0__pos_1p5_rot_8p0__xyz1p5__ryp8__seed20,1006,0.7584493041749503,0.24155069582504973,N/A,N/A,N/A,N/A,121.10879765973088,50.01000213623047,457.2688903808594,585.3700622558589,0.008599873988909943,0.0,0.008165701619114996,0.0,0.6191242342670215,0.6103803741798018,0.5606492545141045
uncertainty_fusion_attbias_a0p05_b2p0__pos_1p5_rot_8p0__xyz1p5__ryp8__seed28,1006,0.8578528827037774,0.14214711729622265,N/A,N/A,N/A,N/A,23.588600438909467,2.9198848009109497,83.10500144958496,93.60307769775389,0.13700543931664994,0.1346153846153846,0.15585964201316224,0.1545454545454545,0.7791957023191947,0.7512916545922617,0.6308001229570074
